Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-06-05 19:42:00.193786,4108.709677419355,0,4121.935483870968,0,4117.419354838709,0,4129.354838709677,0,4144.8387096774195,0,4098.387096774194,0,4109.032258064516,0,4126.451612903225,0,4146.451612903225,0,4106.129032258064,0,4138.709677419355,0,4165.1612903225805,0,4389.677419354839,0,4158.709677419355,0,0,0,?
2018-06-05 19:42:00.198786,4119.032258064516,0,4124.8387096774195,0,4122.580645161291,0,4100.645161290323,0,4100.645161290323,0,4118.709677419355,0,4126.774193548387,0,4143.548387096775,0,4102.258064516129,0,4136.129032258064,0,4101.612903225807,0,4173.548387096775,0,4432.903225806452,0,4135.806451612903,0,0,0,?
2018-06-05 19:42:00.215786,4114.8387096774195,0,4104.516129032258,0,4124.516129032258,0,4119.354838709677,0,4120.967741935484,0,4131.612903225807,0,4105.1612903225805,0,4114.8387096774195,0,4099.354838709678,0,4120.0,0,4127.741935483871,0,4166.451612903225,0,4392.903225806452,0,4150.0,0,0,0,?
2018-06-05 19:42:00.215786,4114.8387096774195,0,4104.516129032258,0,4124.516129032258,0,4119.354838709677,0,4120.967741935484,0,4131.612903225807,0,4105.1612903225805,0,4114.8387096774195,0,4099.354838709678,0,4120.0,0,4127.741935483871,0,4166.451612903225,0,4392.903225806452,0,4150.0,0,0,0,?
2018-06-05 19:42:00.240786,4121.612903225807,0,4116.129032258064,0,4124.8387096774195,0,4133.225806451613,0,4100.967741935484,0,4114.8387096774195,0,4116.774193548387,0,4120.967741935484,0,4143.548387096775,0,4103.548387096775,0,4089.032258064516,0,4170.322580645161,0,4419.032258064516,0,4135.4838709677415,0,0,0,?
2018-06-05 19:42:00.257786,4132.903225806452,0,4121.612903225807,0,4119.677419354839,0,4139.677419354839,0,4106.451612903226,0,4113.548387096775,0,4127.741935483871,0,4129.677419354839,0,4098.709677419355,0,4135.4838709677415,0,4120.967741935484,0,4168.387096774193,0,4417.741935483871,0,4165.483870967742,0,0,0,?
2018-06-05 19:42:00.258786,4123.225806451613,0,4118.064516129032,0,4124.516129032258,0,4109.677419354839,0,4108.387096774194,0,4115.1612903225805,0,4116.129032258064,0,4117.419354838709,0,4140.0,0,4124.8387096774195,0,4090.0,0,4171.290322580645,0,4419.677419354839,0,4176.129032258064,0,0,0,?
2018-06-05 19:42:00.258786,4128.064516129032,0,4132.258064516129,0,4125.806451612903,0,4102.903225806452,0,4116.129032258064,0,4125.1612903225805,0,4119.677419354839,0,4134.8387096774195,0,4097.096774193548,0,4136.774193548387,0,4104.516129032258,0,4171.612903225807,0,4393.225806451613,0,4166.129032258064,0,0,0,?
2018-06-05 19:42:00.258786,4129.032258064516,0,4125.806451612903,0,4120.645161290323,0,4099.354838709678,0,4108.064516129032,0,4113.548387096775,0,4122.258064516129,0,4123.548387096775,0,4102.580645161291,0,4139.354838709677,0,4111.935483870968,0,4166.129032258064,0,4426.774193548387,0,4159.677419354839,0,0,0,?
2018-06-05 19:42:00.258786,4118.064516129032,0,4112.258064516129,0,4113.548387096775,0,4137.741935483871,0,4144.193548387097,0,4145.4838709677415,0,4108.387096774193,0,4122.580645161291,0,4141.612903225807,0,4144.516129032258,0,4102.903225806452,0,4171.612903225807,0,4412.580645161291,0,4143.870967741936,0,0,0,?
